MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
XXXX,XXXX,0.6905,Active Export Interval (kWh),03-10-2024 11:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),03-10-2024 11:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),03-10-2024 10:30
XXXX,XXXX,0.4255,Active Export Interval (kWh),03-10-2024 10:30
XXXX,XXXX,0.0000,Active Import Interval (kWh),03-10-2024 10:00
XXXX,XXXX,0.1595,Active Export Interval (kWh),03-10-2024 10:00
XXXX,XXXX,0.0320,Active Export Interval (kWh),03-10-2024 09:30
XXXX,XXXX,0.4895,Active Import Interval (kWh),03-10-2024 09:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 09:00
XXXX,XXXX,0.3545,Active Import Interval (kWh),03-10-2024 09:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 08:30
XXXX,XXXX,0.4590,Active Import Interval (kWh),03-10-2024 08:30
XXXX,XXXX,1.1050,Active Import Interval (kWh),03-10-2024 08:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 08:00
XXXX,XXXX,0.1390,Active Import Interval (kWh),03-10-2024 07:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 07:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 07:00
XXXX,XXXX,0.1360,Active Import Interval (kWh),03-10-2024 07:00
XXXX,XXXX,0.1205,Active Import Interval (kWh),03-10-2024 06:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 06:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 06:00
XXXX,XXXX,0.1155,Active Import Interval (kWh),03-10-2024 06:00
XXXX,XXXX,0.1195,Active Import Interval (kWh),03-10-2024 05:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 05:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 05:00
XXXX,XXXX,0.1225,Active Import Interval (kWh),03-10-2024 05:00
XXXX,XXXX,0.1190,Active Import Interval (kWh),03-10-2024 04:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 04:30
XXXX,XXXX,0.1215,Active Import Interval (kWh),03-10-2024 04:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 04:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 03:30
XXXX,XXXX,0.6850,Active Import Interval (kWh),03-10-2024 03:30
XXXX,XXXX,0.1410,Active Import Interval (kWh),03-10-2024 03:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 03:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 02:30
XXXX,XXXX,0.1360,Active Import Interval (kWh),03-10-2024 02:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 02:00
XXXX,XXXX,0.1470,Active Import Interval (kWh),03-10-2024 02:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 01:30
XXXX,XXXX,0.4900,Active Import Interval (kWh),03-10-2024 01:30
XXXX,XXXX,0.2010,Active Import Interval (kWh),03-10-2024 01:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 01:00
XXXX,XXXX,0.2200,Active Import Interval (kWh),03-10-2024 00:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 00:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 00:00
XXXX,XXXX,0.2605,Active Import Interval (kWh),03-10-2024 00:00
XXXX,XXXX,0.3620,Active Import Interval (kWh),02-10-2024 23:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),02-10-2024 23:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),02-10-2024 23:00
XXXX,XXXX,0.3570,Active Import Interval (kWh),02-10-2024 23:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),02-10-2024 22:30
XXXX,XXXX,0.3850,Active Import Interval (kWh),02-10-2024 22:30
XXXX,XXXX,0.5345,Active Import Interval (kWh),02-10-2024 22:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),02-10-2024 22:00
XXXX,XXXX,0.4200,Active Import Interval (kWh),02-10-2024 21:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),02-10-2024 21:30
XXXX,XXXX,0.1715,Active Import Interval (kWh),02-10-2024 01:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),02-10-2024 01:00
XXXX,XXXX,0.4755,Active Import Interval (kWh),02-10-2024 00:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),02-10-2024 00:30
XXXX,XXXX,0.7020,Active Import Interval (kWh),02-10-2024 00:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),02-10-2024 00:00
XXXX,XXXX,0.6610,Active Import Interval (kWh),01-10-2024 23:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 23:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 23:00
XXXX,XXXX,0.4700,Active Import Interval (kWh),01-10-2024 23:00
XXXX,XXXX,0.4130,Active Import Interval (kWh),01-10-2024 22:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 22:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 22:00
XXXX,XXXX,1.4175,Active Import Interval (kWh),01-10-2024 22:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 21:30
XXXX,XXXX,0.6230,Active Import Interval (kWh),01-10-2024 21:30
XXXX,XXXX,0.3265,Active Import Interval (kWh),01-10-2024 21:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 21:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 20:30
XXXX,XXXX,0.3605,Active Import Interval (kWh),01-10-2024 20:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 20:00
XXXX,XXXX,0.5700,Active Import Interval (kWh),01-10-2024 20:00
XXXX,XXXX,0.3785,Active Import Interval (kWh),01-10-2024 19:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 19:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 19:00
XXXX,XXXX,0.2885,Active Import Interval (kWh),01-10-2024 19:00
XXXX,XXXX,0.1220,Active Import Interval (kWh),01-10-2024 18:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 18:30
XXXX,XXXX,0.1615,Active Import Interval (kWh),01-10-2024 18:00
XXXX,XXXX,0.0125,Active Export Interval (kWh),01-10-2024 18:00
XXXX,XXXX,0.0945,Active Import Interval (kWh),01-10-2024 17:30
XXXX,XXXX,0.0265,Active Export Interval (kWh),01-10-2024 17:30
XXXX,XXXX,0.0445,Active Export Interval (kWh),01-10-2024 17:00
XXXX,XXXX,0.4280,Active Import Interval (kWh),01-10-2024 17:00
XXXX,XXXX,0.3290,Active Export Interval (kWh),01-10-2024 16:30
XXXX,XXXX,0.0035,Active Import Interval (kWh),01-10-2024 16:30
XXXX,XXXX,0.0000,Active Import Interval (kWh),01-10-2024 16:00
XXXX,XXXX,0.5755,Active Export Interval (kWh),01-10-2024 16:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),01-10-2024 15:30
XXXX,XXXX,0.7785,Active Export Interval (kWh),01-10-2024 15:30
XXXX,XXXX,0.0000,Active Import Interval (kWh),01-10-2024 15:00
XXXX,XXXX,0.8110,Active Export Interval (kWh),01-10-2024 15:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),01-10-2024 14:30
XXXX,XXXX,1.2670,Active Export Interval (kWh),01-10-2024 14:30
XXXX,XXXX,0.8380,Active Export Interval (kWh),01-10-2024 14:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),01-10-2024 14:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),01-10-2024 13:30
XXXX,XXXX,0.6265,Active Export Interval (kWh),01-10-2024 13:30
XXXX,XXXX,0.0875,Active Import Interval (kWh),01-10-2024 13:00
XXXX,XXXX,0.5895,Active Export Interval (kWh),01-10-2024 13:00
XXXX,XXXX,1.0280,Active Export Interval (kWh),01-10-2024 12:30
XXXX,XXXX,0.0360,Active Import Interval (kWh),01-10-2024 12:30
XXXX,XXXX,1.1275,Active Export Interval (kWh),01-10-2024 12:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),01-10-2024 12:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),01-10-2024 11:30
XXXX,XXXX,0.8460,Active Export Interval (kWh),01-10-2024 11:30
XXXX,XXXX,0.0000,Active Import Interval (kWh),01-10-2024 11:00
XXXX,XXXX,0.4825,Active Export Interval (kWh),01-10-2024 11:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),01-10-2024 10:30
XXXX,XXXX,0.4385,Active Export Interval (kWh),01-10-2024 10:30
XXXX,XXXX,0.3425,Active Export Interval (kWh),01-10-2024 10:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),01-10-2024 10:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),01-10-2024 09:30
XXXX,XXXX,0.1615,Active Export Interval (kWh),01-10-2024 09:30
XXXX,XXXX,0.0215,Active Import Interval (kWh),01-10-2024 09:00
XXXX,XXXX,0.0160,Active Export Interval (kWh),01-10-2024 09:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 08:30
XXXX,XXXX,0.0925,Active Import Interval (kWh),01-10-2024 08:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 08:00
XXXX,XXXX,0.4615,Active Import Interval (kWh),01-10-2024 08:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 07:30
XXXX,XXXX,0.2490,Active Import Interval (kWh),01-10-2024 07:30
XXXX,XXXX,0.1750,Active Import Interval (kWh),01-10-2024 07:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 07:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 06:30
XXXX,XXXX,0.1410,Active Import Interval (kWh),01-10-2024 06:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 06:00
XXXX,XXXX,0.1175,Active Import Interval (kWh),01-10-2024 06:00
XXXX,XXXX,0.1200,Active Import Interval (kWh),01-10-2024 05:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 05:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 05:00
XXXX,XXXX,0.1180,Active Import Interval (kWh),01-10-2024 05:00
XXXX,XXXX,0.1250,Active Import Interval (kWh),01-10-2024 04:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 04:30
XXXX,XXXX,0.1020,Active Import Interval (kWh),01-10-2024 04:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 04:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 03:30
XXXX,XXXX,0.5015,Active Import Interval (kWh),01-10-2024 03:30
XXXX,XXXX,0.3090,Active Import Interval (kWh),01-10-2024 03:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 03:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 02:30
XXXX,XXXX,0.1425,Active Import Interval (kWh),01-10-2024 02:30
XXXX,XXXX,0.1425,Active Import Interval (kWh),01-10-2024 02:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 02:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 01:30
XXXX,XXXX,0.4655,Active Import Interval (kWh),01-10-2024 01:30
XXXX,XXXX,0.1520,Active Import Interval (kWh),01-10-2024 01:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 01:00
XXXX,XXXX,0.1885,Active Import Interval (kWh),01-10-2024 00:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 00:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),01-10-2024 00:00
XXXX,XXXX,0.2525,Active Import Interval (kWh),01-10-2024 00:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 23:30
XXXX,XXXX,0.3405,Active Import Interval (kWh),30-09-2024 23:30
XXXX,XXXX,0.4435,Active Import Interval (kWh),30-09-2024 23:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 23:00
XXXX,XXXX,0.3335,Active Import Interval (kWh),30-09-2024 22:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 22:30
XXXX,XXXX,0.4485,Active Import Interval (kWh),30-09-2024 22:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 22:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 21:30
XXXX,XXXX,0.3955,Active Import Interval (kWh),30-09-2024 21:30
XXXX,XXXX,0.4200,Active Import Interval (kWh),30-09-2024 21:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 21:00
XXXX,XXXX,0.3960,Active Import Interval (kWh),30-09-2024 20:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 20:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 20:00
XXXX,XXXX,0.3925,Active Import Interval (kWh),30-09-2024 20:00
XXXX,XXXX,0.3660,Active Import Interval (kWh),30-09-2024 19:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 19:30
XXXX,XXXX,0.3425,Active Import Interval (kWh),30-09-2024 19:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 19:00
XXXX,XXXX,0.2955,Active Import Interval (kWh),30-09-2024 18:30
XXXX,XXXX,0.0030,Active Export Interval (kWh),30-09-2024 18:30
XXXX,XXXX,0.0045,Active Import Interval (kWh),30-09-2024 18:00
XXXX,XXXX,0.1160,Active Export Interval (kWh),30-09-2024 18:00
XXXX,XXXX,0.0870,Active Import Interval (kWh),30-09-2024 17:30
XXXX,XXXX,0.2010,Active Export Interval (kWh),30-09-2024 17:30
XXXX,XXXX,0.7215,Active Import Interval (kWh),30-09-2024 17:00
XXXX,XXXX,0.0815,Active Export Interval (kWh),30-09-2024 17:00
XXXX,XXXX,0.0740,Active Export Interval (kWh),30-09-2024 16:30
XXXX,XXXX,0.1095,Active Import Interval (kWh),30-09-2024 16:30
XXXX,XXXX,0.2035,Active Export Interval (kWh),30-09-2024 16:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),30-09-2024 16:00
XXXX,XXXX,0.4565,Active Export Interval (kWh),30-09-2024 15:30
XXXX,XXXX,0.1225,Active Import Interval (kWh),30-09-2024 15:30
XXXX,XXXX,0.8295,Active Export Interval (kWh),30-09-2024 15:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),30-09-2024 15:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),30-09-2024 14:30
XXXX,XXXX,0.7065,Active Export Interval (kWh),30-09-2024 14:30
XXXX,XXXX,0.0000,Active Import Interval (kWh),30-09-2024 14:00
XXXX,XXXX,0.4655,Active Export Interval (kWh),30-09-2024 14:00
XXXX,XXXX,0.5440,Active Export Interval (kWh),30-09-2024 13:30
XXXX,XXXX,0.0000,Active Import Interval (kWh),30-09-2024 13:30
XXXX,XXXX,0.0000,Active Import Interval (kWh),30-09-2024 13:00
XXXX,XXXX,0.4815,Active Export Interval (kWh),30-09-2024 13:00
XXXX,XXXX,0.0040,Active Import Interval (kWh),30-09-2024 12:30
XXXX,XXXX,0.2395,Active Export Interval (kWh),30-09-2024 12:30
XXXX,XXXX,0.1980,Active Import Interval (kWh),30-09-2024 12:00
XXXX,XXXX,0.0085,Active Export Interval (kWh),30-09-2024 12:00
XXXX,XXXX,0.0905,Active Import Interval (kWh),30-09-2024 11:30
XXXX,XXXX,0.0060,Active Export Interval (kWh),30-09-2024 11:30
XXXX,XXXX,0.0080,Active Export Interval (kWh),30-09-2024 11:00
XXXX,XXXX,0.2280,Active Import Interval (kWh),30-09-2024 11:00
XXXX,XXXX,0.3530,Active Import Interval (kWh),30-09-2024 10:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 10:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 10:00
XXXX,XXXX,0.2395,Active Import Interval (kWh),30-09-2024 10:00
XXXX,XXXX,0.0625,Active Export Interval (kWh),30-09-2024 09:30
XXXX,XXXX,0.0920,Active Import Interval (kWh),30-09-2024 09:30
XXXX,XXXX,0.1030,Active Import Interval (kWh),30-09-2024 09:00
XXXX,XXXX,0.0435,Active Export Interval (kWh),30-09-2024 09:00
XXXX,XXXX,0.8435,Active Import Interval (kWh),30-09-2024 08:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 08:30
XXXX,XXXX,0.6185,Active Import Interval (kWh),30-09-2024 08:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 08:00
XXXX,XXXX,0.2535,Active Import Interval (kWh),30-09-2024 07:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 07:30
XXXX,XXXX,0.0980,Active Import Interval (kWh),30-09-2024 07:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 07:00
XXXX,XXXX,0.1075,Active Import Interval (kWh),30-09-2024 06:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 06:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 06:00
XXXX,XXXX,0.1115,Active Import Interval (kWh),30-09-2024 06:00
XXXX,XXXX,0.1135,Active Import Interval (kWh),30-09-2024 05:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 05:30
XXXX,XXXX,0.1160,Active Import Interval (kWh),30-09-2024 05:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 05:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 04:30
XXXX,XXXX,0.0975,Active Import Interval (kWh),30-09-2024 04:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 04:00
XXXX,XXXX,0.1135,Active Import Interval (kWh),30-09-2024 04:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 03:30
XXXX,XXXX,0.6840,Active Import Interval (kWh),30-09-2024 03:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 03:00
XXXX,XXXX,0.1305,Active Import Interval (kWh),30-09-2024 03:00
XXXX,XXXX,0.1280,Active Import Interval (kWh),30-09-2024 02:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 02:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 02:00
XXXX,XXXX,0.1735,Active Import Interval (kWh),30-09-2024 02:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 01:30
XXXX,XXXX,0.5580,Active Import Interval (kWh),30-09-2024 01:30
XXXX,XXXX,0.1870,Active Import Interval (kWh),30-09-2024 01:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 01:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 00:30
XXXX,XXXX,0.1950,Active Import Interval (kWh),30-09-2024 00:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),30-09-2024 00:00
XXXX,XXXX,0.3015,Active Import Interval (kWh),30-09-2024 00:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),29-09-2024 23:30
XXXX,XXXX,0.5115,Active Import Interval (kWh),29-09-2024 23:30
XXXX,XXXX,0.3790,Active Import Interval (kWh),29-09-2024 23:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),29-09-2024 23:00
XXXX,XXXX,0.4130,Active Import Interval (kWh),29-09-2024 22:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),29-09-2024 22:30
XXXX,XXXX,0.4780,Active Import Interval (kWh),29-09-2024 22:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),29-09-2024 22:00
XXXX,XXXX,0.3675,Active Import Interval (kWh),29-09-2024 21:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),29-09-2024 21:30
XXXX,XXXX,0.4120,Active Import Interval (kWh),29-09-2024 21:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),29-09-2024 21:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),29-09-2024 20:30
XXXX,XXXX,0.4640,Active Import Interval (kWh),29-09-2024 20:30
XXXX,XXXX,0.4280,Active Import Interval (kWh),29-09-2024 20:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),29-09-2024 20:00
XXXX,XXXX,0.5035,Active Import Interval (kWh),29-09-2024 19:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),29-09-2024 19:30
XXXX,XXXX,0.7125,Active Import Interval (kWh),29-09-2024 19:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),29-09-2024 19:00
XXXX,XXXX,0.7035,Active Import Interval (kWh),29-09-2024 18:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),29-09-2024 18:30
XXXX,XXXX,0.3565,Active Import Interval (kWh),29-09-2024 18:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),29-09-2024 18:00
XXXX,XXXX,0.4635,Active Import Interval (kWh),29-09-2024 17:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),29-09-2024 17:30
XXXX,XXXX,0.0005,Active Export Interval (kWh),29-09-2024 17:00
XXXX,XXXX,0.4015,Active Import Interval (kWh),29-09-2024 17:00
XXXX,XXXX,0.0825,Active Import Interval (kWh),29-09-2024 16:30
XXXX,XXXX,0.0495,Active Export Interval (kWh),29-09-2024 16:30
XXXX,XXXX,0.4915,Active Export Interval (kWh),29-09-2024 16:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),29-09-2024 16:00
XXXX,XXXX,0.0080,Active Export Interval (kWh),29-09-2024 15:30
XXXX,XXXX,0.2695,Active Import Interval (kWh),29-09-2024 15:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),29-09-2024 15:00
XXXX,XXXX,0.4590,Active Import Interval (kWh),29-09-2024 15:00
XXXX,XXXX,0.8325,Active Import Interval (kWh),29-09-2024 14:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),29-09-2024 14:30
XXXX,XXXX,1.0895,Active Import Interval (kWh),29-09-2024 14:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),29-09-2024 14:00
XXXX,XXXX,0.0010,Active Export Interval (kWh),29-09-2024 13:30
XXXX,XXXX,0.1710,Active Import Interval (kWh),29-09-2024 13:30
XXXX,XXXX,0.0320,Active Export Interval (kWh),29-09-2024 13:00
XXXX,XXXX,0.5815,Active Import Interval (kWh),29-09-2024 13:00
XXXX,XXXX,0.3205,Active Export Interval (kWh),29-09-2024 12:30
XXXX,XXXX,0.0190,Active Import Interval (kWh),29-09-2024 12:30
XXXX,XXXX,0.0065,Active Import Interval (kWh),29-09-2024 12:00
XXXX,XXXX,0.0935,Active Export Interval (kWh),29-09-2024 12:00
XXXX,XXXX,0.0855,Active Export Interval (kWh),29-09-2024 11:30
XXXX,XXXX,0.0135,Active Import Interval (kWh),29-09-2024 11:30
XXXX,XXXX,0.0205,Active Export Interval (kWh),29-09-2024 11:00
XXXX,XXXX,0.0210,Active Import Interval (kWh),29-09-2024 11:00
XXXX,XXXX,0.0400,Active Import Interval (kWh),29-09-2024 10:30
XXXX,XXXX,0.0460,Active Export Interval (kWh),29-09-2024 10:30
XXXX,XXXX,0.0010,Active Export Interval (kWh),29-09-2024 10:00
XXXX,XXXX,0.0870,Active Import Interval (kWh),29-09-2024 10:00
